Comment,Sentiment
where i live i have never seen a betting shop close down one round the corner from me has been open for over 50 years theres a constant stream of customers going into these places and even with internet competition they still seem to thrive betting shops is where i would strongly consider investing it cigarettes is another one bat share price just goes up and up warren buffet loves the tobacco industry and who can blame him with those huge profits even with all the bad write up about the dangers of smoking people still do it as its so highly addictive two businesses that just dont fail betting shops and cigarettes they even have a strong link,positive
sundar didnt want to pull out his phone because its probably the next pixel device,neutral
your 6hour python video on youtube was where i learnt the basics of django i fell in love with django and started teaching django on my youtube channel sir mosh you are the best instructor in the world,positive
virginia woolf’s a room of one’s own inspired me to read and write there was something about her piercing words that changed my perspective about many things i’m grateful for her talent sad about how much she suffered in life,positive
in this day and age my life has become complicated especially my social and digital life i always wondered how to simplify it somehow thank you for making this video,positive
i’m sooooo excited for “the abundant nature”,positive
i want to go to pakistan just to eat food with ali i really enjoyed his personality hes got a great sense of humor and hes obviously super passionate about educating people on the beauty of his country,positive
good summary when i crave something i imagine as realistically as possible that i already have it this helps me know if i really want it,positive
how can i get fee waiver for sat exam i complete class 12 in 2020 but not joined any college please say how can i get fee waiver,negative
bro under 30k iqoo neo 6 is no 1 option,neutral
i love how you actually explain stuff instead of just shoving information into students heads i think that turns many students off about learning chemistry since theyre not understanding any of it and are just blindly memorising and accepting that things happen the way they do without aksing why if those students had you as a teacher theyd be a much more interested in chemistry as theyll understand that its how we as a species study matter and the universe and is not just a bunch of stuff to be memorised keep going youre amazing 3,positive
you guys are just awesome your learning technique is too goodkeep it up and thank you so much to all edureka team,positive
an interesting fact is that patterson was excluded from the 1971 national research council panel to investigate the danger of atmospheric lead poisoning due to political pressure the ethyl executives offered caltech sizable investments if they got rid of patterson,neutral
ok i normally find it funny when someone asks what a gold digger is even when he’s 8 but this time i just didn’t laugh he sounds like a good kid man,positive
get my 24 super answers watch this video now,neutral
love this it really makes me hungry looking at those delicious dishes,positive
i relly like this channel because the music is so good and gives the vibe an mood in free time,positive
this song hit diffrent when u thinking bout your crush ,neutral
hurting somebodys feelings is easy as throwing a rock in the ocean but do you know how deep that rock goes,negative
im such a fan of your music its literally my favorite,positive
today i learned “low income families” make up to 250k per year,neutral
thanks sir its really understandable i enjoyed it,positive
thank god that someone was observant and took action to prevent another mass shooting,neutral
the math shouldn’t scare you away i was terrible at math i just applied myself and made it not bad at all it just takes effort,positive
something funny i just noticed aside from looking sort of alike both brian cox and shigeru miyamoto seem to almost be incapable of speaking without smiling being experts in completely different fields both just seem so curious and enjoying what they do what a joy to listen to these guys and just have them around,positive
esse filme da fiona em live action vai ser incrível,neutral
im reading a book called existentialists and mystics writings on philosophy and literature by iris murdoch edited by peter conradi which has in it what purports to be a transcript of this interview with bryan magee but the sentences are different many words are added or deleted or changed its almost as if someone decided that the actual interview wasnt polished or eloquent enough and the editors made changes or is it possible that iris murdoch got the transcript and modified to her own writing standards does anyone out there know,neutral
wow i loved this cant wait for the next one,positive
gordon ramsay should eat like nick for an entire day,neutral
i love love love that the search inquiries tell little separate stories as they progress like the guy finding out dead ppl dont pay taxes faking his death and the cops trying to determine if its a mannequin or a real guy,positive
i was trying to hold out on busting out the fall decor until september but all your content and dunkin having pumpkin spice back are just two of the reasons ill be decorating tonight,positive
blockchain backer in the senario you describe are you expecting all time highs for alts or are you expecting to just take some money out when it goes up a bit more during wave 5,neutral
thank you chef ramsay for sharing your talents with me this has helped me to be better in the kitchen blessings to you and your family,positive
nice explanation for the first time in 522 minutes i have understand what is machine learning thank you waiting for more tutorials videos,positive
i love how you can put a literal 3 feet tall stick in a freezer at home,positive
this is terrifying imagine getting reported and registered as a predator because an algorithm from some big tech company has decided that something like this or maybe even family pictures from the beach are cp,negative
i am a totally layman but i finished watching this one hour course so interesting what a great teacher his teaching can even attract a person like me who just wish to know some basics of web development great job thanks mosh,positive
its so obvious he is used to teaching he explains complex information so easily love it,positive
i own a series s bought it when the x was impossible to find last year and honestly it runs great yet to see how next gen gaming truly performs on this thing but i havent had a single issue with the machine load times are waaayy faster than the xbox one s and ps4 looks great on my 1440p monitor and when upscaling on 4k tvs gamepass is great the hard drive is a bit small for holding sx optimized games i use an external for everything else stick to performance mode and you will not have any frame rate issues lastly it fits in my backpack if i travel with it this thing is worth every penny imo,positive
hey this video really made me catch my understanding of what is machine learning is i referred to tons of different videos i am able to understand kind of but not meaningfully but this video gave me the complete meaning of machine learning to understand deep practically,positive
wouldnt it be fun if the fine print in these bills stated if you voted no your state will be excluded from receiving an allocation of the funds,negative
1707 a small correction he was named saitō musashibo benkei and its a shame you didnt include the battle of shiroyama where the man who took a big role in modernizing the new imperial japanese army was ultimately killed with his band of 500 samurai whom were originally 20 000 at the start of the satsuma rebellion he was named saigō takamori,negative
im just starting out and i liked this video interesting to learn about machine learning applications like image recognition fraud detection and recommendation systems that we see on google search and next video recommendations on youtube also interesting to know about predictive models and that data is used to train the model to serve predictions which results in answering questions good one,positive
slight correction the infinite limit of shallow neural networks as kernel machines specifically gaussian processes was established in 1994 radford neal this was updated for relu nonlinearities in 2009 cho saul in 2017 lee bahri showed this result could be extended to deep neural networks not sure this counts as 2021s biggest breakthrough though it is a cool result so happy to have it publicised ,positive
lady destroyed racisms 7 years ago respect,negative
perfect ,positive
love u bro u say all the information at right time waiting for iphone 14 launch,positive
i love the little bits of humour that you inject into the images without acknowledging them in your audio so good ,positive
i love the drawing and spider man new suit it is like he wear anti goblin suit and i like mark drawing of ultimate spider man style,positive
this was immensely enjoyable we need more with loremaster moran,positive
that was extremely helpful wish they wouldve shown that in school when we were learning about databases and mysql,positive
beautiful song,positive
tom cruise is truly the embodiment of megastardom one of the best films in decades,positive
rrespekt nga shqiptarët e dibrës madhe ,neutral
the vasy clip was a normal game for him thats the big cat go bolts,positive
if everyone was like you study wouldnt not be tough thank you for this video and graph theory explanation what you made is not just knowledge but enlightment for me you do it like its a cake to you and i actually understand your explanation,positive
pain and suffering are always inevitable for a large intelligence and a deep heart the really great men must i think have great sadness on earth” ― fyodor dostoevsky crime and punishment,negative
love your vids my dad was a worldamericanenglishhistory professor listening to you knowing how much research must go into these presentations all i can say is your artistic talent fairly balances your deep love of finding the origins of modern man gorgeous work thanks so much for letting us into your world sir,positive
this game is definitely giving me marvel nemesis vibes and i’m all for it,positive
awesome vid as always azzy,positive
when they sell this house some day the open house tours are gonna be wild theyll need a real estate agent with a sense of humor,neutral
the graphics actually look a lot smoother more intricate and more polished as well as the frame rate and overall flow of movement which is super nice i wasnt expecting a graphical improvement after the first footage we saw but now im happy,positive
dinhoouuu achei muito interessante esse jogo lies of p gostaria muito de assistir um vídeo especial seu trazendo mais detalhes desse game ,positive
this is so informative ive been a little on the fence about getting into cs but i love how challenging it is this video really helped answer alot of question i had i cannot thank you enough,positive
hey marques i know these sound insignificant but since you rarely update your little donglesaccessories that you carry around and your apps on your home screens i think it would be interesting to get a little maybe quarterly series where you talk about any changes and what youd like to see changedsimplified with those work flows just an idea,positive
i dont often spend money for a youtuber as i dont have much but i will donate this time its absolutely ridiculous you are getting sued for voicing your opinions you deserve to be able to defend yourself,negative
saddakur incoming when he can’t deliver the sheer overconfidence they project as underdogs is off putting not in touch with reality,negative
the older i get i am finding that i dont have any patience for cult members who deliberately choose to be stupid i cant even watch it,negative
as someone who’s interested in becoming a game dev this is really inspiring,positive
can’t believe tride beat literal pros in the race ,neutral
nh4 attacks the queen qe5 or qd5 looses the queen after nf6 game over,neutral
man i’m still in awe of how far marvel has come,positive
000 neuroscience the way we percieve the functions of the brain 331 botany the death flower 618 sleep new discoveries,neutral
tracklist 0000 alan walker spectre privated ncs release 0345 different heaven ehde my heart ncs release 0811 deaf kev invincible ncs release 1236 disfigure blank ncs release 1604 electrolight symbolism ncs release 2039 tobu hope ncs release 2513 spektrem shine ncs release 2931 itro tobu cloud 9 ncs release 3403 cartoon why we lose feat coleman trapp ncs release 3733 different heaven nekozilla ncs release 4016 syn cole feel good ncs release 4316 tobu itro sunburst ncs release 4621 jim yosef firefly ncs release 5036 tobu candyland ncs release 5353 cartoon on on feat daniel levi ncs release 5717 elektronomia sky high ncs release 01016 jim yosef forces feat ivan jamile kédo rebelle ncs release 010524 unknown brain superhero feat chris linton ncs release 010819 robin hustin x tobimorrow light it up feat jex ncs release 011119 elektronomia energy ncs release 011431 axel oliver x theboywithspec survive ncs release 011836 warriyo mortals feat laura brehm ncs release 012217 julius dreisig zeus x crona invisible ncs release 012538 deaf kev invincible ncs release,neutral
siempre he sentido que la forma en que marvel elige a los actores ha sido perfecta quiero que chris hemsworth y benedict cumberbatch desempeñen sus respectivos roles en el mcu tanto tiempo como puedan siento que nacieron para interpretar estos papeles,neutral
the wahlter wenck story is pretty cool absolutely insane that he manged at that point in the war to successfully attack and get the people out and save their lives sabaton made a song about it hearts of iron,positive
for me milk actually makes it 100x spicier even if im not eating something spicy just regular pasta burns my throat with milk,positive
so in short trees do not bend the laws of physics trees use the laws of physics cleverly,neutral
i feel like the 765 doesn’t belong in this list at all almost unfair,negative
baby elephants are also adorable i thought it would have been included,positive
the trial was the most relatable novel i’ve ever read that feeling that the world is just against you and you don’t know why but yet you feel like you deserve it because you couldn’t live up to the standard expectations,positive
if you cant explain it simply you dont understand it well enough albert einstein,neutral
wow never listened to a lecture where time felt like it went too fast thank you,positive
writing the literature review might be easier than you think no need to panic me staring at my screen for almost half a day also me fantasizing on how i would end my teachers career and possibly the whole world just because of a fricking research proposal edit i manage to pass it a few minutes after deadline slept like a log,neutral
pov it’s ramadan and you’re hungry,neutral
какие сонные мурашки  спасибо за видео ангелин ,neutral
i remember watching this channel ,neutral
yes please chuck make more videos about sql you read my mind i just started to make a website with flask for python and a sqlite3 or mysql database thanks for the new video,positive
preparing for interviews can be arduous because like you pointed out that different organisations have different definitions of a data scientist role and data science is such an extremely broad term that is often times disputed amongst people you only find out when you sit for the interviews that the organisations sometimes are actually looking for a data analyst or ml engineer or data engineer when the interview doesnt circle around what youd imagine it to be but thats the reality and thanks for pointing it out and most of the time i am just scraping and cleaning the data which definitely gives me mixed feelings about my job role i could really relate to your experiences and it definitely resonated with me such an insightful video for the ones who want to pursue their career in data science because often times it can be misinterpreted,neutral
nice,positive
the question of ai sentience is in some regards unimportant a large percentage of humans recognize the sentience of nonhuman animals yet inflict on them terrible suffering for no good reason why would we treat an electronic creation with more respect,negative
i love how happy she looks while shes eating its adorable,positive
this is so much better than it was in school,positive
3150 i really like the name sapiens that you landed on because that name isnt just prehistoric humans it is a game about sapiens it could be prehistoric medieval modern future or anything because of this you arent stuck with only cavemen it can go as far as you want and the modders want,positive
i love how they let swalwell speak on this situation whenever he was sleeping with a chinese spy ,neutral
release nothing make the public press wait theres gonna be time enough for curiosities news talk programmes and newspapers to be amply catered for after the gavel has dropped on this affair,neutral
i think its safe to say that before trusting in systems like google maps one must research the routes those systems suggest you take before going on your adventure especially if those routes are longer than the comfort zone of your own city for example before i go on a long drive to a destination i have never been to before i always check the routes on google maps by zooming in for both satellite view and map view then figure out if those routes are safe to take or better to take a longer one its unfortunate these two groups of people went through what they did so its a lesson for everyone to be mindful before setting out to unknown territory like my husbands parents they always have a large jug of water in their car along with a weeks worth of rations first aid kit blankets flares etc even though they rarely go off the beaten path,neutral
if liverpool dont sign at least 2 players midfielders before the transfer window closes making top 4 will be very difficult and as for vvd looks like he is getting too complacent this season,negative
it may surprise some people but logistic regression is in fact a regression model the output is continuous its a probability of course you can dichotomize the output and create a classifier just like you can dichotomize any score function or regression model output so the distinction between regression and classification is not so clear cut,neutral
a cs degree is basically a math major with some programming if you plan on taking cs make sure u actually enjoy it rather than doing it for the money,neutral
lakshya legit killed them with facts love the way hes changing and replying to toxic content creators with such maturity shame on unnatural,negative
funny how democrats always choose the old white man lol,negative
i love to listen to elon hes just amazing so very smart,positive
netflix is getting into video games for the same reason apple is launching a car and amazon is getting into healthcare these high high tech company have to constantly keep growing in order to justify their insane valuations and in many cases their core businesses wont offer enough revenue to satisfy investors growth expectations,neutral
thor el único en tener 4 películas individuales en el ucm hasta el momento,neutral
this is amazing you are so confident and it makes the whole video look better just a tip if you wet a qtip just a little bit you can get any mascara or eyeliner smudges off super easily,positive
just imagine the hype of this team if they had won their two other games,neutral
nikhil is pretty funny “chicken maximus which sounds like a roman emperor who is also a coward”…because he’s “chicken”,negative
the best explanation of convolution in few minutes ,positive
love susskind and his no nonsense outlook on the world ,positive
you literally exude elegance i adore you and your energy,positive
we want the quarry in game pass please,neutral
awesomely explainedthanks a tonno words to express our gratitude for such wonderful explanation,positive
спасибо за хорошее настроение ,neutral
não tem música com uma vibe boa como essa viajo demais nesse som ,positive
8 anos 7 meses e 6 dias para quem não sabe esse é o exato intervalo entre thor o mundo sombrio e a data de lançamento desse filme brilhante,neutral
he’s had them for 18 months there’s no way of ever knowing who saw them or photographed them until they surface somewhere in the world it’s the most dangerous action he did coz of course he will have shownsoldused them for leverage,negative
graphics do matter but its more tied to the visual style and aesthetics that are implemented i dont care about super realistic graphics i just want stable eyepleasing visuals with amazing gameplay look no further than how poorly some of the earlier realistic graphics have aged on previous consoles while games with a more unique art style have remained timeless,neutral
跟老马学英语！30天练出自然听说能力。看看目前可报名的英语课程： bitlylmkecheng,neutral
this man made more sense in 20 minutes than a whole committee in years and years of planning and execution,positive
i would just like to say that audio software wise you have saved me so much research thank you for making this video and keep up the great work,positive
i might upgrade from my 11 pro to the 14 max i guess i don’t care enough to spend the money on the pro max but i want the bigger display and better battery life,positive
congratulations m4tech for achieving 8 million subscribers,positive
the coolest thing surely was the diamond craftee mecha armor,positive
thank you for your history listen as a 77yr old black american educated ba degree and a us veteran i was unable to express why my life goal was to live abroad im free at last im an expat in mexico,positive
data science is definitely not dying and for the fact its only scaling much bigger companies have started seeing the advantage of using data and data science and organisations are adopting data which is in fact create more demand for data experts ,positive
dude i cant thank you enough this is the first time i have understood anything about cell and found it interesting this is literally a game changer thanks a lott,positive
the glazers have said theyre only willing to sell a minority stake nothing will change for utd unless its a full takeover,neutral
thank you so much ssundee for making daily videos you bring me so much joy in this whole pandemic,positive
because a healthy and educated country is a strong country thank you senator sanders for all you do,positive
been following this project for ages and im always blown away by the attention to detail in the level design super excited to see where the game goes from here,positive
correction when discussing the prefixes it would have been more uptodate to talk about how kb used to be 1024 bytes but its now 1000 bytes and the old 1024 measurement is now known as the kibibyte or kib,neutral
this episode is ridiculously wellwritten,positive
i get really mesmerize when lisa is dancing her expression and body control is perfect,positive
so apparently the japanese 7elevens are like mini togo restaurants while the ones in the us serve packaged processed food or reheated frozen processed garbage its almost an insult to call them the same store how do we let them get away with this crap here,negative
this game should work 140 better based on graphics showcase devs nowadays are a joke with optimisations lol,positive
it’s gonna look amazing can’t believe kass is pregnant love you all so much super excited i love halloween,positive
wow the concept of sending games over the internet lines sounds so compelling i wish online multiplayer was real ,positive
popcorn oil is amazing i used to work at a movie theater and we’d pop the kernels by adding one pump of oil into the hopper one day i added a second pump of oil and the popcorn was amazing perfect golden color savory delicious people complimented how good the popcorn was i became the guy responsible for making all the popcorn one day i showed a coworker my secret and he thought “if 2 pumps of oil is better than 1 then 6 must be amazing” we received so many complaints over his oily popcorn had to throw the whole batch out in giant garbage bags the lesson a little oil goes a long way don’t overdo it with that stuff ,positive
smells like hikaru vs ian finals,neutral
this is better than our own recipe at mac donalds  thanks,positive
the third game would have been a lot more interesting with one change the platforms are hexagons much smaller and with several more of them on screen at once so that youre always in danger of falling into a hole and not exactly sure where the path is going furthermore after reading several other comments i agree about crediting the developers however everyone needs to realise that the prices were agreed upon before development and the prices were integral to the experiment if the developers were not ok with the amounts they were paid then they wouldnt have accepted the job,neutral
 timestamps 0001 プレビュー 0529 ウレタンスポンジ 0902 木のスプーン タッピング 1120 ウニボール 貫通 1537 美濃焼 マイクタッピング 1904 ボール 2327 ふわふわマイクカバー 2611 マジックテープ 2913 マジックテープ ウレタンスポンジ 3041 プラスチックミニマット スクラッチング 3437 潰したぷよぷよボール 4421 テーブル ネイルタッピング 一人称視点 4927 綿棒 耳かき 貫通 5458 クッションシール 5844 シリコンマット 10324タイプライター風 キーボード タイピング音 10912 モザイクタイル タッピング 11317 フェルト スクラッチング 11855 モール 12300 付箋メモ 一人称視点 12639 iphoneの箱 タッピング 13103 ヘッドホンで録音したキネティックサンド 木のフォーク 13836 バブルピーリングパッド イヤーマッサージ 貫通 14458 スポンジ 15240 コーンクッション 緩衝材 フィンガータッピング 15424 グルーミングブラシ スポンジマイクカバー 15938 スパンコール 20647 マウス タッピング クリック音 20845 シリコンパフ フィンガータッピング 21200 スクイーズボール ラップ 一人称視点 21633 iphone 13 pro タッピング 21934 マイクブラッシング マイクスクラッチング 22249 ナイロンポーチ 22841 ポップイット 一人称視点 23028 キネティックサンド ハニーディッパーでつぶす 23054 キネティックサンド 逆再生 23119 キネティックサンド ハニーディッパーでつぶす 2× 23133 グルーミングブラシ フィンガータッピング 23302 グルーミングブラシ 23458 ふわふわマイクカバー モヘアシール ブラッシング 23640 ふわふわマイクカバー 23932 アイスキューブ タッピング 24326 袋の音 24753 ホログラムテープ タッピング 24926 ホログラムテープ 25146 シリコンクレンジングパッド 貫通 25612 キネティックサンド 30348 バングル 30638 シリコンマスカラブラシ 31148 プラスチックミニマット タッピング 0001 preview 0529 urethane sponge 0902 wooden spoon tapping 1120 urchin ball penetrating 1537 mino ware mic tapping 1904 cat toys ball 2327 fluffy mic cover 2611 velcro 2913 velcro urethane sponge 3041 plastic mini mat scratching 3437 crushed orbeez 4421 table nail tapping first person 4927 cotton swab ear cleaning penetrating 5458 non anti slip sticker 5844 silicone mat 10324 typewriterstyle keyboard typing sounds 10912 mosaic tile tapping 11317 felt scratching 11855 tinsel pipe cleaner 12300 sticky notes first person 12639 iphone box tapping 13103 kinetic sand recorded with headphones wooden fork 13836 bubble peeling pad ear massage penetrating 14458 sponge 15240 cushioning material finger tapping 15424 grooming brush sponge mic cover 15938 sequins 20647 mouse tapping click sound 20845 silicone makeup sponge finger tapping 21200 squeeze ball plastic wrap first person 21633 iphone 13 pro tapping 21934 mic brushing mic scratching 22249 nylon pouch 22841 pop it first person 23028 kinetic sand press with honey dipper 23054 kinetic sand reverse 23119 kinetic sand press with honey dipper 2× 23133 grooming brush finger tapping 23302 grooming brush 23458 fluffy mic cover mohair seal brushing 23640 fluffy mic cover 23932 ice cube tapping 24326 crinkle sound 24753 hologram tape tapping 24926 hologram tape 25146 silicone cleansing pad penetrating 25612 kinetic sand 30348 bangle 30638 silicone mascara brush 31148 plastic mini mat tapping,neutral
the wait is over glad to see you back on the youtubes ,positive
ăn cá nóc như thế thì chết,neutral
possibly not only the greatest film ever made but the greatest story the lesson being that material possession should never take prescendence over our common humanity a dollar bill always looks as big as a bedspread what a line,positive
im sorry but the way he said youre poor took me out i was not expecting to cackle the way i did at that lol,negative
im honestly impressed by the time and effort you put into these videos keep it up,positive
one area of speculative are the predictions of life on the planets of our solar system as you may have seen in lemminos recent video people have proposed ideas for life on the moon mars venus etc for hundreds of years as well as modern day in that same sense videos surrounding the biology of aliens visiting earth ie usually as invaders would be interesting,neutral
the original movie was op and the teaser of this movie looks promising hopefully it would not disappoints us,positive
i cant believe he made the game for himself and all of them are so amazingly designed,positive
hey i’m writing in december how do i use my sat to apply for scholarship as an international student do i need to write sat subject test as welland are we still writing the sat essay,neutral
i really love the iphone pro max models i’m sure that apple know what they are doing,positive
great editing brother had my attention the entire time,positive
that’s how you shouldn’t behave in a chess game black just plays intolerant and aggressively touches on the clock i hate that,negative
muito louco esse som ,neutral
a vlog by julia on a friday is the perfect way to wrap up the work week,positive
i just transitioned to apple late last year for being an android fan for almost 10 years i used to mock their features and as i grow older and matured i realized that solutions of apple tends to be more on sustainable and longterm their products tend to be like the durableshome appliances that is made to last and not be replaced i just want to highlight the part on your video where samsung is mocking apple for “same design” practice and i think they are doing that now too because there is a benefit from it no wonder there are lot of trends apple had made over the the smartphonepc world,positive
interview tell me about yourself how to answer the tell me about yourself question thank you for watching my video please tell me what your favourite tip was leave your comments below,positive
