Comment,Sentiment
id love to see a more indepth video about the mechanics of how the stacked sheets create virtual atoms what are the limitations are there any conceivable functionalcommercial uses beyond research what an exciting development in physics research im surprised this is the first im hearing of this techniquetechnology,positive
can we all just appreciate and thank jimmy for making good videos especially when some people are going through some hard times,positive
beast always comes up with the most edited and well made reaction vids ever,positive
you guys should do a full movie reaction on this itll be so amazing ,positive
fun fact megiddo was written and directed by the ancient egyptian scribe makiel um bey it starred brucyek wilsah and with music by aerosmith because steven tyler is that old,neutral
this video was incredibly helpful for me a video of 721 minutes literally covered the whole chapter of cell thanks a million 3,positive
i dont understand why is it called freebie when its our right for education water and basic needs we pay taxes like anything,negative
respekte nga cunat e shqiperis  big donxhoni,neutral
i saw the netflix special and he was truthful and funny,positive
1 con beat thật đơn giản nhưng rất chill so lit ,positive
de bruyne brilliant as always nice to see haaland can get the assists as well as the goals,positive
it’s 2022 and i’m still listening to this song i don’t think it’s gone ever get old,positive
very informative i’ve got an engineering degree and had courses like probability statistics linear algebra integral and differential calculus i have a letter of acceptance from a community college in canada for business and advanced analytics in a post grad diploma program with subjects like python sql machine learning etc i’m studying python and data science online at the moment in preparation for my winter 2023 intake will brush up my knowledge on statistics linear algebra and calculus by august as this is a requirement by the program back in the days i had the opportunity to represent our school in math competitions what surprises me is that i can still study for 5 8 straight hours everyday and sometimes forgetting my businesses as i now leave my managers to decide on their own what do you think are the chances of people in their mid 40’s getting a job without experience as a data analyst or data scientist,positive
we should take the time to thank nick for the constant uploads these videos just keep getting better and better,positive
this made me respect 50 even more his business acumen is so on point i love that hes helping schools in houston he comes off as the bully of the block but hes ultimately giving people jewels and leaves it up to them to make jewelry this man is constantly learning the business and taking over kudos and blessings to him,positive
i cant believe this is free online to watch and learn you guys are doing great things i deafinetly want to be a computer scientist now,positive
few notes some of them for windows users you can use not without using not function like if not ismale in open file lesson i had to pass a path for file even if its in same folder import sys then pass path like syspath0 employeestxt in last lesson use py not python,neutral
i’ve been trying to grow my portfolio of 460k for sometime now my major challenge is not knowing when to sell or hold,negative
love this song this morning and always will love it,positive
coucou jadore tes vidéos je te suivais au début par rapport à mes enfants maintenant je me suis mise à jouer à splatoon avec ma fille et comme toi car jadore lunivers hp jattends ardemment que le jeu soit sorti je crains néanmoins la sortie sur switch peur que cette version sois moins jolie je vais me tourner vers la version pc je crois bonne journée,positive
i havent laughed this hard because of someones content in sooooo long thanks so much for this incredible content man,positive
nice i love 123 go troom troom every one,positive
jacquees got that old school rb flow its to wavy,neutral
i think game pass will have 35 million subscribers at the end of next year all the game releases and activisionblizzard games in game pass will surely add alot to it,positive
ac odyssey un des meilleur assassin’s creed ,negative
the peach joycon looks so cute,positive
como um presente diz que não há transparência na eleição e foi eleito desde que o sistema eletrônico existe eu quero ver se ele tem coragem de defender isso num debate debate lamento o brasil ter chefe de nação tão despreparo,neutral
i loved this comic when i was younger i cant believe theyre actually making a series super exited and hope she gets the same powers she has usually later on 3,positive
222 it takes a really smart person to do a spiderman frontflip two meters high i wouldve never thought of that unreal iq,neutral
cheguei um pouco tarde hj mas tá valendo o vídeo está perfeito como sempre,neutral
welcome back to the philippines sonny been a fan for many years and your videos is educational for me i’ve learned a lot of cultures authentic food and the country’s people because of you and your team thank you,positive
just found you guys after being recommend by a friend of mine he says you have to hear this song after listening to this on repeat for an hour i then found the album that is great from cover to cover you guys are what this genre needs badly you guys are tearin it upmuch respect,positive
the dudes nodd when he was told to diversify his bonds is what killed me b,negative
you need to do more videos like this i love how you get punishments for losing games and they happen right after each challenge,positive
finally i already missed you so the next one is as soon as possible jungkook and jimin are the ones who get hurt the most they always give more than they expect and often get hard on themselves and often exhaustion and fainting just for everyone to see the best of them in every performance it hurts armys to see him this way,negative
who did the pie chart and who put it as thumbnail,neutral
even though it took me a whole lot of practicing to achieve i am so glad to inform you that i can now solve the cubes without the video thanks to you,positive
can we appreciate everything they do and let’s just give them a thank you for posting even in the hard times this family never disappoints us,positive
study girl has such a chill life these days ,positive
programmer here who finds this series seriously interesting its also nice to see very informed tutor and friendly way she covers subjects in details keep up the good work,positive
amazing your way of explaining is superb thank you so much,positive
its so fun to watch people whose talents are this impressive but its even more fun to watch jimmy and chris narrating together,positive
a computer science story first semester 80 students second semester 40 students outwit outplay outlast how many will remain find out on the next episode of survivor,neutral
the semifamous stock to flow model was invalidated however some form of cycle theory certainly still exists which doesnt really matter plan then invest dca in what you believe in and have patience,neutral
yay zack so unexpected edit thanks for so many likes ,positive
hi every one just got done 12 hrs of math i listened to this almost the whole time thank you for supporting me the whole way lofi,positive
heres what i got from this this man is a very good lawyer and still believes in the law it was no mistake that he mentioned twice that he would never do anything unethical and he would tell the threats and other bullcrap to stop what he didnt say was that we all know both of those things go very against trumps mo he is a very wise lawyer not to get mixed up in trump,neutral
i love how the cleanup crew beats the medical crew to do their job,positive
creating a business on youtube to show people how to start a business is smart,positive
the world needs more documentaries like this more bill nye as well,positive
another fun video ,positive
legion makes incredible game meoh boy can’t wait to pl legion doesn’t make a link to get this master piece,positive
thirteen lives was incredible its exactly how we as human should be behaving,positive
can we all agree these videos are never disappointing ,positive
thank you for this im curious about the statistical angle of the weighted sums and bias are these akin to regression coefficients and the bias associated with underfittingoverfitting that is adjusted with regularization in machine learning,neutral
i love this man this is so relaxing keep up the amazing work,positive
been watching for 11 years what a ride it’s been since malsada i appreciate everything you do logan the crew’s creativity really pops in this one,positive
these visuals are giving me ori and the blind forest vibes and i love it,positive
thank you so much quanta magazine to fill young hearts with this deep inquisitiveness and fascination with the reality around the true potential of the platform is limitless this epic summary just resonates so many unexplained questions than i had the time before,positive
criticism is not theory but this video would have students believe so,neutral
i love how she does everything so neatly ,positive
listen to 2 am study session here,neutral
high school students who want to go to stem majors in college should watch your videos you cover subjects indepth with practical examples this is what is lacking in the majority of careermajor prep videos on youtube the other channels would say you need to know math but are not really specific like you it would be interesting to know how many students saved time and money by not having to switch majors because they picked the wrong major in their freshman year thank you,positive
as a professional engineer i really appreciate your direct tech channel no bs david it is good to hear dr chuck as i stand firm with him as i also teach tech in my free time while i work in tech fulltime i hope entrylevel folks see this,positive
no one preston breaks wood with shears and says it’s faster,neutral
i’ll never forget the devastating story of the judge who’s information was posted online and consequently her teenaged son was murdered when he answered the door at their home this is not acceptable,negative
i think without e3 it threw off everything for nintendo that’s the place for their biggest presentations and since it didn’t happen this year nintendo just decided to quietly chug along until they were ready to share more as things come,neutral
hey tim good video one thing i would say is that i wouldnt recommend beginners to start with reinforcement learning as a matter of fact i think thats one of the more advanced applications supervised learning with neural nets or computer vision would be my suggestions before going to reinforcement,positive
as a software engineer im doing everything the exact oposite way you are d the code being the easy part and graphics being the hard part you are really artistically talented love to follow your devlogs,positive
as a male rn who worked with almost all women bill is right on,positive
i missed you thanks for getting me giggling when i’m feeling like sht,positive
i like that andrew comes in lexis videos and makes it more funny,positive
vermont is getting rain and thunder right now at 100 pmburlington vt,neutral
hearing linus say its better than a pc in any way you know its an amazing machine,positive
the ‘offer to work for free’ thing is surprisingly rare but great advice i took a gamble and emailed a company i covered in my psychology bsc to ask if i could come work for them for free and they gave me a paid gig as a trial 16 years later and i’m now managing director in all those years not one person has attempted the same thing,positive
ส่งมาขายอเมริกา,neutral
ssundee thank you so so so much for the part 2 ive been expecting this so freaking much please whenever the boys are ready please do a part 3 it really brightens up my day d,positive
after watching this video i got motivated that i need to spend a lot of time especially studying in english this inspirational messages is have a big impact to me to motivate and to explore and learn english by watching youtube english lesson because honestly speaking i want to speak fluently in english and thank for this motivational messages ,positive
im leaving my comment here so when someone likes it i can listen to this masterpiece again,positive
finally i can add machine learning specialist to my portfolio,positive
i love elon he makes it cool to be smart hes a genius,positive
“he attempted to take british somaliland which went pretty well he then attempted to take egypt which went less well then he attempted to take greece which went really badly churchill began to describe italy as europe’s soft underbelly”,negative
i’m scared that bubs is gonna get too popular and that he won’t be able to make these videos without getting recognized lmao,negative
this is the collab we needed,positive
cramer hitting the coke in the morning,neutral
as the new mexican boy at the school in va i didnt speak any english but there was this beautiful girl in my math class who took her time to teach me by sharing some music including this song after about 2 months of hanging out on a daily basis we started dating and we were almost inseparable one day while she was visiting her grandma in vermont some drunk driver crashed into her and she lost her life along with her dad  she was the sweetest person you could ever meet i miss her so much  i listen to this song imagining her by my side,positive
006 newtons first law of motion 220 newtons first law of motion 2nd part aka law of inertia 647 net force of objects at rest and in constant velocity 758 newtons second law of motion 1002 variation of newtons second law of motion momentum impulse 1326 newtons third law of motion 2117 problems and calculations,neutral
 i love how there making permanent changes to their house for our entertainment  ,positive
sunny is really trying out the food of the world the ones that people are afraid to try yet sunny shows how people eat around the world and still live best food program ever i think i have seen literally every single video,positive
this child has been practicing his pick up lines for this one moment,neutral
have a damn good day,positive
give this guy his own animal documentary series like a more chill bill nye his explanations are like a little story and you dont make anyone feel bad about their questions bravo this was one of the most entertaining biology videos i have watched in awhile,positive
dear denielle thanks so much for your speed in which you remind me of preparing cambridge c1 english exam i failed it a couple of times however i never have lost my perseverance to do the exam over and over again as a financial analyst with reference to the return of investment time spent this is my worst deal however when it comes to understanding humanities becoming comfortable with ambiguity and making me a rounded person the answer to this valuable investment is definitely yes well appreciated,positive
arsenals got 3 gabriels and all of them have been phenomenal,positive
early omg,positive
the funny part about biology is that everyone pronounces everything differently,neutral
sniperwolf dont google this stuff instantly googles,negative
ive always thought it interesting how differently sorting algorithms work to how we as humans seem to sort things it seems like were much more efficient than many of the algorithms at least the ones ive seen which is admittedly few for example when we look at all the items we remember what we saw before and can change more than one thing at once eg oh i remember that was the smallest before i found the actual smallest so thats the second smallest let me put both of them first and second right now saving myself a relook i know computers are still faster in the end but i suspect thats because we physically cannot write or move objects around as quickly as a computer can physically write data and possibly our brain has a slower clock speed rather than computational efficiency anyone know if thats true has anyone made a human sort algorithm so to speak that sorts the way we do including our little tricks im guessing no if not are there any algorithms that at least take advantage of a trick or two like the one i just described,positive
one of the most beautiful and amazing tracks ive heard it really got my thinking and working beautiful great great job,positive
so my university currently has both software engineering and computer science both majors are pretty much the same thing and the only difference is about 3 or 4 classes for example for the data structures and algorithms course there is cis 350 theory based and cis 3501 se side of the class also the core requirements has se majors take se 2 after se 1 while cs majors only take se 1 so its really the same degree same requirements only difference is a couple of classes that are very similar,neutral
3135 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,positive
sounds like a pretty solid lineup i cant imagine them not doing the werewolf by night or guardians holiday special some what but i guess well see,positive
what can you say if you measure your previous achievements on less mathematical results like hr or communication consultant or translator thank you,neutral
while working on my masters in education one faculty member told me that in his opinion our schools were designed to babysit our kids so the parents can work,neutral
i love how you do focus on more than just crypto two quick questions if we do start wave 5 any guess as to roughly what the peak would be is that the overall 4236 extension second what happens next if it hits that overall high i expect a crash but what if wave 5 doesnt get that high,positive
this song makes me feel like i lost someone i never had,negative
make sure to enter the metacent 10000 giveaway,neutral
it almost sounds like a blend of indian japanese and brazilian culture which really brings out the idea of diverse unity and expressionism that chaos is all about i love it,positive
jennifer yoon seemed both happy and mad at the same time,neutral
couldve never predicted how amazing of a midfielder joelinton has become,positive
no sequel to a movie that is over 30 years old should be this damn spectacular i saw this opening night in imax and it was one of the absolute best moviegoing experiences of my life the sound of the jets flying by the literal feeling of the vibrations in your seat when the g forces kick in and especially the visuals of seeing everything from the point of view of the pilots i legitimately believed during the final dogfight that maverick was going to die so few movies today make me believe that on top of all that the story is so freaking amazing the theme of showing how fighter pilots are still needed even in the age of drones the story of rooster learning to not just forgive maverick but to let go of being so overly careful in his flying and “don’t think just fly” and of course the most emotionally powerful if the movie when maverick visits iceman even though he has retired due to his throat cancer and has difficulty speaking he still managed to give an absolutely heartbreaking performance thank you tom cruise for fighting so hard to get this movie in theaters,positive
අනේ පොඩි උදව්වක් දෙන්න මට subscribe 150 ට යන්න උදව්වක් දෙන්න,neutral
after all the hate towards the americans at leeds this was absolutely deserved,neutral
imagine being talented and dedicated enough to not just make a game on your own but also make a high quality video series detailing your design processes at the same time really amazing stuff,positive
just think abt itwe were just freshman not worrying abt this test,neutral
dotcomnirvan never disapointedfire visual ,positive
as a destiny veteran and current destiny 2 tourneys player i think they did pretty good with zavala and the others ikora and exo stranger,positive
“little old leon came in with one shot and head kicked him” savage yet humble line ,positive
fair to say the golden age of gaming is truly gonesad reallybut glad i grew up gaming in the 90s and early 2000ssad a lotta kids wont experience the magic we did,neutral
bonjour je vous ai écris mais vous ne répondez pas ,negative
well if the documents were planted then how could he possibly have declassified them,negative
kuya ash laro ka po ulit naruto shippuden ultimate ninja storm 4 progression po ni sasuke,neutral
to anybody reading this i pray that whatever is hurting you or whatever you are constantly stressing about gets better good luck and love to all,positive
redfall is going to be sick ,positive
you should do an offroad test with all the trucks in the swamp next to the military base,negative
spiderman no way home and top gun maverick both brought back the moviegoing experience in huge droves as both films became one of the first films to gross over 1 billion worldwide at the box office since the pandemic began also tom cruise and paramount made the right decision delaying this for two years because its a film thats made for the big screen and everyone knows that,positive
someone 12 by 12 is hardest blue boi are you sure about that,neutral
nice bro,positive
i was 6 years old and would spend hours watching my brothers play skyrim cod black ops 2 multiplayerzombies prince of persia minecraft batman dead space black ops 2 holds a very special place in my heart even tho i never really got to play those games just watching my brothers play em was fun enough for me i would do anything to go back to those days to get excited whenever i heard the xbox start up sound even tho i couldnt play games till i was older just watching my brothers gaming adventures and playing online with my other brothers that was fun enough for me brings back alot of nostalgic memories,positive
im one of those fans that get excited when watching any marvel movie or series i love what disney and marvel studios have created i cant wait to watch all of these,positive
hi julian i love your game so far and am obsessed with the art style of it all i am from california with a bachelors degree in english and wanted to see if you needed a writer to develop the world lore or whatever storycampaignquestsdialogue you want to bring into lens island i dont have a portfolio since i am just starting to reach out to developers for my first opportunity to write for someone but would love to connect to maybe write a test piece for you and if you like it then we could look into working together i will write anything and everything for your game free for a full year and will sign an nda to protect your work either way i wish you all the best and thank you for your time logan,positive
now i understood what my pet feels like when i tell something to him,neutral
the cost of education in this country is crazy if we want to have an educated workforce we need more affordable education,negative
as someone who used to work 80 hours a week quitting my job to become a freelancer was the best thing i have ever done sure i still work a lot of hours and often close to 7080 hrs a week i feel like i am doing this for myself and not some corporation,positive
yo tarpor really has showed himself as a very charismatic smart and strong leader paying tribute to him three scientists and all the other survivors remained and been killed for making this way through,positive
the real mystery is how on earth did these two girls both do a story on secret bunker or the bunker not only that but then put it on the very same show the most important mystery of all though is why dont they watch there own video content before its aired something google earth cant even reveal,negative
i love these calm relaxing devlogs keep it up dd,positive
mitrovic just sores up on headers it’s nearly unstoppable for smaller players,positive
ich werde bestimmt nicht dabei sein – und ich hätte auch überhaupt nichts dagegen wenn apple nur alle 3 jahre oder so mal ein neues modell herausbringt wer braucht alle diese marginalen verbesserungen mein altes se ist immer noch ein sehr gutes telefon verwaltet termine und nachrichten prima und unterstützt die organisation meines business ganz hervorragend,neutral
have you ever heard of the 1982 animated movie “a flight of dragons” they answer a lot of dragon biology questions like the fact that dragons can fly because they are essentially organic hydrogen balloons and they breathe fire to vent it off,neutral
only a 5 hours after the game was over this time that’s record speed good job guys,positive
ridículo o tse nesse caso da reunião com os embaixadores nega a transparência e considera isso um ato antidemocratico e a imprensa joga lenha na fogueira pois a onda é atacar o presidente ,neutral
this so called analyst only watched one gamelol,neutral
what a well laid out video im starting a masters programme in cs at the end of the month after graduating as a bsc in physics and this video really helped in assuring myself that im not in over my head and am actually surprisingly familiar with the topics to come of course i dont mean to underestimate the amount of work to come but at least im more confident now,positive
chess is and forever will be a timeless endearing game that will forever captivate the human mind long may it reign in thousands of years to come,positive
funfilled tech bites loved it,positive
i love her accentwho else,positive
thats a big dinner and good music,positive
i was gratified enticed by dr susskind’s implication of the time ‘shear’ near the event horizoneh because it supports questions i have been asking for years about the structure of a black hole which is commonly dismissed as “an unexplainable singularity at the center of the eh” that i have long believed is nonsensical without mention of relative rates of time layering i note that feynmans qed is not actually sensible explanatory or even rational but only exquisitely descriptive this vid also illuminated for me the ubiquitous ‘hairiness’ of the universe as a thick tangle of erepr entanglement ‘filaments’ stretched in at least 4d by an infinitude of time sheared partners i think this makes the universe a relatively big but very tiny place,neutral
 timestamps 000000 intro 000104 sign up for a canva account 000126 homepage explained 001042 photoshop vs canva 001153 how to create a new canva design 3 ways 001325 the canva editor top panel explained 002100 the canva editor side panel explained 002300 using photos 002721 using elements 003705 the canva editor side panel continued 004252 designing in canva editor 004930 working with text 011006 adding link 011100 additional functionalities in canva editor 012442 how to download your designs 012624 canva free vs canva pro 012713 canva pro brand kit 012937 canva pro content planner 013205 canva pro additional functionalities in editor 013834 learn with canva,neutral
looking forward to this tatiana maslany looks incredible in the role ,positive
i totally agree with him before joining this course i couldnt even attend a 50 min class in my uni with my full conscious but i attended their first class of approx 5 hours with full interest so if you want to learn python or web or ai or cs basics which he mentioned in the video do give them a try its worth it,positive
so nice how her husband is helping her finish the meal and always smiling,positive
great summary of europes gas crisis lark id say its going to be a rough winter for some countries but reserves of gas have been made and there should also be a plan for alternative types of heating like heat pumps which are much more efficient,positive
como uma música pode viciar tanto ,positive
its about the cash tencent makes more revenue annually than both xbox and nintendo combined and they make zero exclusives and saying you pay more to support the devs is like saying youre glad to pay more at the gas pump so you can support exxon and the people working at the refineries its so dumb,negative
shout out to all my badminton players out there i know your sport doesnt get alot of love thats hits me right in the feels man thank you,positive
better ideas get a new mattress put it on the wood thing you also might be thinking how do we get in the fort just lift the matress add an exit door incase someone is lying on the bed or cant get out add a small ladder that looks like a stair add a mini fridge thats all,neutral
its always a calm day when dreamhop releases a new mix ,positive
daredevil at the end was the icing on the cake show looks like it’s going to be awesome,positive
get the free story toolbox worksheet and own your copy of fill in the blank job hunt essential email templates for the job search here,neutral
one question how did everyone but me know the main villain’s name was sage before it was officially announced ,neutral
tell mase we dont need him rapping about nothing we not out here miss him go home mase,negative
2323 hermosa elección 18kissxuno los mortales abian apreciado tan hermosa mujer 1010 hopicmdh sweeter 1112 sun hotter 0018 joonie cooler 1800 yoongy butter 2323 son unos de los mejores conciertos mañas no se lacmdh las elecciones cinematográficas y artísticas son brillantes referencias culturales europeas realmente interesantes ojalá la cultura europea se representara más a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminación genia,neutral
oh so cool gg eric i was hoping to at least make you think a bit harder but oh well haha,positive
love ash great team,positive
im from mexico and it kills me to see that one of our national treasures is dying off also feel very much impotent at the fact that i cant do much about it c,negative
google maps should put warnings on potentially dangerous roads just like how they do on private roads,neutral
taking the sat tomorrow ill come back when i get my scores my first psat score was 1140 so hopefully itll be higher than that,positive
hi tee i enjoyed this video the seafood boil with the two sauces look so delicious your looking beautiful too  continue blessings to you and your family in jesus name have a blessed day,positive
when they trailer gives you a better feeling than the movie,positive
man you put on the funniest food show on youtube love your content,positive
quanta magazine always does a brilliant job at condensing scientific discoveries for a wider audience i love what you do,positive
so much effort in these videos continue like this mate,positive
actually underrated,negative
my doctor also told me that our ears are selfcleaning but when i pressured her for some offtherecord advice she finally conceded that if i really really felt the need to clean inside my ear canal i could go ahead and use my elbows i just adore my doctor,positive
chandlers appraising was more accurate than the professional,neutral
me can i get some ice with that jeanelle sorry our ice machine broke,negative
your channel is such an inspiration to us slow methodical developers struggling to finish overcomplicated projects to try new things,positive
i have never really been big on interacting in yt comments but you guys just might change that love the show,positive
crispy sinigang sakto s maulang weather makkahigop pa ng mainit n sabaw  see you tonight on premiere though silent viewing n lmg ako ngayon s mga premieres mga bebeloves ko all out support here lovelots  take good care of your health and be safe stay blessed ,positive
i dont know why all the youtubers explains stuffs better than my teachers but this video is crystal clear to understand,neutral
apki video bhut achi lgi,neutral
i love that this had very distinct biomes and body plans from each other they all looked like they’d evolved together but really varied in color size and overall form it also allowed for much more realistic looking while still bloody great and weird scenes idk i really liked this one it was cool and kinda realistic in a weird way,positive
c i g a r e t t e s,neutral
des vidéos de 30min serait top,neutral
the time to kill of flatline is insane,negative
get early access to videos and be the first to comment » follow on instagram for more fun food videos besteverfoodreviewshow,positive
